ticker,date,open_price,price_pct_change
AAVE,2020-10-10,51.08,0.0
AAVE,2020-10-11,51.08,0.0
AAVE,2020-10-12,51.08,0.0
AAVE,2020-10-13,51.42,0.6656225528582693
AAVE,2020-10-14,51.6,0.3500583430571691
AAVE,2020-10-15,52.88,2.4806201550387597
AAVE,2020-10-16,42.98,-18.721633888048416
AAVE,2020-10-17,39.31,-8.538855281526281
AAVE,2020-10-18,41.41,5.342152124141419
AAVE,2020-10-19,40.8,-1.4730741366819622
AAVE,2020-10-20,36.02,-11.715686274509796
AAVE,2020-10-21,32.21,-10.577456968350917
AAVE,2020-10-22,35.15,9.127600124185031
AAVE,2020-10-23,37.77,7.453769559032719
AAVE,2020-10-24,41.6,10.140323007678042
AAVE,2020-10-25,39.47,-5.120192307692317
AAVE,2020-10-26,37.94,-3.8763617937674244
AAVE,2020-10-27,35.97,-5.192409066947812
AAVE,2020-10-28,35.03,-2.6132888518209607
AAVE,2020-10-29,32.42,-7.4507564944333415
AAVE,2020-10-30,29.24,-9.808760024676133
AAVE,2020-10-31,31.12,6.429548563611509
AAVE,2020-11-01,29.7,-4.562982005141391
AAVE,2020-11-02,30.76,3.569023569023577
AAVE,2020-11-03,29.69,-3.4785435630689254
AAVE,2020-11-04,28.15,-5.186931626810387
AAVE,2020-11-05,27.72,-1.5275310834813483
AAVE,2020-11-06,30.98,11.760461760461771
AAVE,2020-11-07,38.55,24.43511943189154
AAVE,2020-11-08,44.62,15.74578469520105
AAVE,2020-11-09,53.98,20.977140295831465
AAVE,2020-11-10,54.9,1.7043349388662588
AAVE,2020-11-11,67.06,22.14936247723134
AAVE,2020-11-12,54.49,-18.744407992842227
AAVE,2020-11-13,51.79,-4.955037621581948
AAVE,2020-11-14,63.46,22.533307588337514
AAVE,2020-11-15,66.79,5.247399936968167
AAVE,2020-11-16,64.32,-3.698158406947172
AAVE,2020-11-17,72.97,13.44838308457712
AAVE,2020-11-18,79.28,8.647389338084155
AAVE,2020-11-19,75.16,-5.196770938446016
AAVE,2020-11-20,76.37,1.609898882384253
AAVE,2020-11-21,74.95,-1.8593688621186377
AAVE,2020-11-22,70.37,-6.110740493662437
AAVE,2020-11-23,68.72,-2.3447491828904488
AAVE,2020-11-24,72.29,5.194994179278245
AAVE,2020-11-25,66.87,-7.497579194909399
AAVE,2020-11-26,61.69,-7.7463735606400625
AAVE,2020-11-27,64.42,4.425352569298102
AAVE,2020-11-28,60.87,-5.510710959329412
AAVE,2020-11-29,64.01,5.158534581895857
AAVE,2020-11-30,68.89,7.623808779878138
AAVE,2020-12-01,76.03,10.364348962113512
AAVE,2020-12-02,74.4,-2.1438905695120303
AAVE,2020-12-03,86.87,16.760752688172033
AAVE,2020-12-04,91.7,5.560032232070911
AAVE,2020-12-05,81.04,-11.624863685932386
AAVE,2020-12-06,92.73,14.424975320829226
AAVE,2020-12-07,87.94,-5.165534347029011
AAVE,2020-12-08,90.79,3.2408460313850362
AAVE,2020-12-09,80.15,-11.71935235158057
AAVE,2020-12-10,82.77,3.2688708671241296
AAVE,2020-12-11,76.43,-7.659780113567704
AAVE,2020-12-12,74.66,-2.3158445636530245
AAVE,2020-12-13,77.9,4.339673185105819
AAVE,2020-12-14,83.9,7.702182284980741
AAVE,2020-12-15,86.29,2.8486293206197777
AAVE,2020-12-16,87.19,1.0429945532506535
AAVE,2020-12-17,87.51,0.3670145658905888
AAVE,2020-12-18,85.01,-2.856816363844128
AAVE,2020-12-19,90.38,6.316903893659553
AAVE,2020-12-20,88.95,-1.5822084531975977
AAVE,2020-12-21,85.6,-3.7661607644744355
AAVE,2020-12-22,80.88,-5.5140186915887845
AAVE,2020-12-23,84.31,4.240850642927807
AAVE,2020-12-24,75.73,-10.176728739176843
AAVE,2020-12-25,80.33,6.07421101280865
AAVE,2020-12-26,79.77,-0.6971243620067291
AAVE,2020-12-27,74.91,-6.092515983452429
AAVE,2020-12-28,76.73,2.4295821652649874
AAVE,2020-12-29,81.77,6.568486902124326
AAVE,2020-12-30,78.01,-4.598263421792826
AAVE,2020-12-31,81.14,4.012306114600683
AAVE,2021-01-01,88.35,8.885876263248704
AAVE,2021-01-02,90.77,2.7391058290888504
AAVE,2021-01-03,85.79,-5.4863941831001295
AAVE,2021-01-04,93.59,9.091968760927838
AAVE,2021-01-05,113.89,21.69035153328347
AAVE,2021-01-06,119.56,4.97848801475107
AAVE,2021-01-07,115.06,-3.7638006022081005
AAVE,2021-01-08,114.73,-0.2868068833651982
AAVE,2021-01-09,110.5,-3.68691710973591
AAVE,2021-01-10,118.13,6.904977375565613
AAVE,2021-01-11,126.95,7.466350630661145
AAVE,2021-01-12,114.43,-9.862150452934227
AAVE,2021-01-13,127.53,11.448046840863402
AAVE,2021-01-14,146.97,15.24347212420607
AAVE,2021-01-15,147.43,0.3129890453834161
AAVE,2021-01-16,166.6,13.002780980804452
AAVE,2021-01-17,181.43,8.901560624249715
AAVE,2021-01-18,186.59,2.8440720939205244
AAVE,2021-01-19,200.17,7.277989174125077
AAVE,2021-01-20,186.54,-6.809212169655787
AAVE,2021-01-21,197.41,5.827168435724239
AAVE,2021-01-22,160.36,-18.76804619826755
AAVE,2021-01-23,190.29,18.664255425293085
AAVE,2021-01-24,213.53,12.212938147038743
AAVE,2021-01-25,264.24,23.748419425841803
AAVE,2021-01-26,248.26,-6.047532546170153
AAVE,2021-01-27,277.74,11.87464754692662
AAVE,2021-01-28,287.5,3.514077914596392
AAVE,2021-01-29,297.65,3.5304347826086824
AAVE,2021-01-30,287.69,-3.346211993952619
AAVE,2021-01-31,316.55,10.031631269769559
AAVE,2021-02-01,300.36,-5.114515874269465
AAVE,2021-02-02,294.67,-1.8943933945931524
AAVE,2021-02-03,303.6,3.030508704652668
AAVE,2021-02-04,385.53,26.986166007905112
AAVE,2021-02-05,467.28,21.20457551941484
AAVE,2021-02-06,505.02,8.076527991782223
AAVE,2021-02-07,473.96,-6.150251475189106
AAVE,2021-02-08,471.33,-0.5548991476073906
AAVE,2021-02-09,489.77,3.912333184817429
AAVE,2021-02-10,489.19,-0.11842293321354669
AAVE,2021-02-11,521.94,6.694740284960865
AAVE,2021-02-12,518.28,-0.7012300264398363
AAVE,2021-02-13,530.7,2.3963880527900105
AAVE,2021-02-14,495.14,-6.700584134162435
AAVE,2021-02-15,470.06,-5.065234075211045
AAVE,2021-02-16,456.14,-2.961324086286865
AAVE,2021-02-17,432.64,-5.151927039943882
AAVE,2021-02-18,450.52,4.132766272189348
AAVE,2021-02-19,441.45,-2.013229157418095
AAVE,2021-02-20,419.38,-4.999433684448973
AAVE,2021-02-21,442.16,5.431827936477673
AAVE,2021-02-22,437.21,-1.1195042518545417
AAVE,2021-02-23,399.99,-8.513071521694371
AAVE,2021-02-24,363.52,-9.117727943198584
AAVE,2021-02-25,367.95,1.2186399647887258
AAVE,2021-02-26,337.88,-8.172306019839649
AAVE,2021-02-27,323.03,-4.39505149757311
AAVE,2021-02-28,332.96,3.074017893074954
AAVE,2021-03-01,354.58,6.493272465160982
AAVE,2021-03-02,384.52,8.443792656100179
AAVE,2021-03-03,391.24,1.747633413086458
AAVE,2021-03-04,396.24,1.2779879357938784
AAVE,2021-03-05,373.93,-5.630426004441757
AAVE,2021-03-06,367.48,-1.7249217768031455
AAVE,2021-03-07,388.38,5.687384347447466
AAVE,2021-03-08,414.75,6.789742005252597
AAVE,2021-03-09,437.08,5.383966244725724
AAVE,2021-03-10,444.36,1.6655989750160138
AAVE,2021-03-11,407.58,-8.277072643802331
AAVE,2021-03-12,404.84,-0.6722606604838366
AAVE,2021-03-13,374.16,-7.578302539274762
AAVE,2021-03-14,413.66,10.55698097070772
AAVE,2021-03-15,380.96,-7.905042788763728
AAVE,2021-03-16,367.07,-3.646052078958417
AAVE,2021-03-17,370.08,0.8200070831176687
AAVE,2021-03-18,381.61,3.1155425853869545
AAVE,2021-03-19,363.06,-4.860983726841539
AAVE,2021-03-20,369.03,1.6443563047429999
AAVE,2021-03-21,369.91,0.2384629975882957
AAVE,2021-03-22,367.39,-0.6812467897596819
AAVE,2021-03-23,336.69,-8.356242684885274
AAVE,2021-03-24,330.87,-1.7285930678071826
AAVE,2021-03-25,308.75,-6.6854051440142666
AAVE,2021-03-26,325.38,5.386234817813773
AAVE,2021-03-27,358.32,10.123547851742586
AAVE,2021-03-28,351.33,-1.9507702612190259
AAVE,2021-03-29,348.14,-0.9079782540631354
AAVE,2021-03-30,360.58,3.5732751192049106
AAVE,2021-03-31,377.89,4.800599034888231
AAVE,2021-04-01,382.41,1.196115271639897
AAVE,2021-04-02,382.15,-0.06798985382182599
AAVE,2021-04-03,419.93,9.886170351956046
AAVE,2021-04-04,379.72,-9.575405424713635
AAVE,2021-04-05,403.33,6.217739386916654
